FR_ID,Descripción,Origen,Endpoint/Componente,Estado,Evidencia,Brecha/Notas,Hallazgo_BMAD_relacionado,Prueba(s) automatizada(s),Estado de prueba
FR-AST-001,Listado de assets por SKU con filtro kind + include_archived,as-built,GET /products/{sku}/assets,Verificado,products.py:1163-1184; asset_service.py:111-125,,—,tests/unit/api/test_products_assets_api.py::test_list_assets_returns_200; ::test_list_assets_404_when_product_not_found; ::test_list_assets_filters_by_kind,Verde
FR-AST-002,HTTP 404 si el SKU no existe antes de listar assets,as-built,GET /products/{sku}/assets,Verificado,products.py:1177-1180,,—,tests/unit/api/test_products_assets_api.py::test_list_assets_404_when_product_not_found,Verde
FR-AST-003,Campo urls computado en memoria desde variants JSONB (sin N+1),as-built,GET /products/{sku}/assets,Verificado,schemas_assets.py:140-169; schemas_assets.py:344-352,,—,tests/unit/schemas/test_assets.py,Verde
FR-AST-004,POST upload-url con kind+filename+mime_type — requiere products:write,as-built,POST /products/{sku}/assets/upload-url,Verificado,products.py:1187-1212,,—,tests/unit/api/test_products_assets_api.py::test_get_asset_upload_url_returns_200; ::test_get_asset_upload_url_404_when_product_not_found,Verde
FR-AST-005,Validación MIME por kind — HTTP 422 si incompatible,as-built,POST /products/{sku}/assets/upload-url,Verificado,schemas_assets.py:210-218; asset_service.py:159-164,,—,tests/unit/api/test_products_assets_api.py::test_get_asset_upload_url_422_on_validation_error,Verde
FR-AST-006,Respuesta upload-url con todos los campos + degradado graceful,as-built,POST /products/{sku}/assets/upload-url,Parcial,asset_service.py:143-226,BRECHA-AST-01: sin response_model en FastAPI — OpenAPI incompleto. Issue #100,—,tests/unit/api/test_products_assets_api.py::test_get_asset_upload_url_returns_200,Verde
FR-AST-007,Path canónico en Storage: products/{sku}/{folder}/{uuid}_{filename},as-built,AssetService.build_storage_path,Verificado,asset_service.py:59-83,,—,tests/unit/services/assets/test_asset_service.py,Verde
FR-AST-008,POST confirm crea ProductAsset en DB — HTTP 201,as-built,POST /products/{sku}/assets/{asset_id}/confirm,Verificado,products.py:1215-1282; asset_service.py:229-291,,—,tests/unit/api/test_products_assets_api.py::test_confirm_asset_upload_returns_201; ::test_confirm_asset_upload_422_on_service_error,Verde
FR-AST-009,Encolado Celery generate_thumbnails para photo/banner/mirror_url,as-built,POST /products/{sku}/assets/{asset_id}/confirm,Verificado,products.py:1258-1265,,—,tests/workers/test_thumbnails.py,Verde
FR-AST-010,PATCH /primary marca asset como primario — products:write,as-built,PATCH /products/{sku}/assets/{asset_id}/primary,Verificado,products.py:1285-1302; asset_service.py:294-301,,—,tests/unit/api/test_products_assets_api.py::test_set_primary_asset_returns_200; ::test_set_primary_asset_404_when_not_found,Verde
FR-AST-011,Exclusividad de primario por (sku kind) — _set_primary_exclusive,as-built,AssetService._set_primary_exclusive,Verificado,asset_service.py:303-318,,—,tests/unit/services/assets/test_asset_service.py,Verde
FR-AST-012,PATCH /archive: status=archived + archived_at + archived_by — products:write,as-built,PATCH /products/{sku}/assets/{asset_id}/archive,Verificado,products.py:1305-1322; asset_service.py:321-330,,—,tests/unit/api/test_products_assets_api.py::test_archive_asset_returns_200,Verde
FR-AST-013,PATCH /restore: status=active + limpia archived_at + archived_by — products:write,as-built,PATCH /products/{sku}/assets/{asset_id}/restore,Verificado,products.py:1325-1342; asset_service.py:333-342,,—,tests/unit/api/test_products_assets_api.py::test_restore_asset_returns_200,Verde
FR-AST-014,DELETE /assets/{id} hard-delete — products:delete,as-built,DELETE /products/{sku}/assets/{asset_id},Parcial,products.py:1345-1364; asset_service.py:345-350,BRECHA-AST-02: assets:certify no implementado para certificate_pdf. BRECHA-AST-03: FK RESTRICT no manejada. Issues #102 y #103,—,tests/unit/api/test_products_assets_api.py::test_delete_asset_returns_204; ::test_delete_asset_404_when_not_found,Verde
FR-AST-015,Endpoints /images/* deprecados con Deprecation header + proxy a /assets/*,as-built,GET|POST|DELETE /products/{sku}/images/*,Verificado,products.py:1022-1159,,—,tests/unit/api/test_products_assets_api.py::test_deprecated_list_images_returns_200,Verde
FR-AST-016,POST /asset-links crea link polimórfico — products:write,as-built,POST /api/v1/asset-links,Parcial,asset_links.py:68-90; asset_link_service.py:37-75,BRECHA-AST-04: RFC 7807 incompleto en _raise_domain. Issue #104,—,tests/unit/services/assets/test_asset_link_service.py; tests/unit/schemas/test_asset_links.py,Verde
FR-AST-017,GET /{owner_type}/{owner_id}/asset-links — products:read — orden correcto,as-built,GET /api/v1/{owner_type}/{owner_id}/asset-links,Verificado,asset_links.py:49-62; asset_link_service.py:78-88,,—,tests/unit/services/assets/test_asset_link_service.py,Verde
FR-AST-018,DELETE /asset-links/{link_id} — products:write — HTTP 204,as-built,DELETE /api/v1/asset-links/{link_id},Parcial,asset_links.py:96-111; asset_link_service.py:104-113,BRECHA-AST-04: RFC 7807 incompleto en error 404. Issue #104,—,tests/unit/services/assets/test_asset_link_service.py,Verde
FR-AST-019,HTTP 409 asset_link_conflict en link duplicado,as-built,POST /api/v1/asset-links,Verificado,asset_link_service.py:51-63,,—,tests/unit/services/assets/test_asset_link_service.py,Verde
FR-AST-020,AssetService.mirror_external crea row con status=pending_upload,as-built,AssetService.mirror_external,Parcial,asset_service.py:354-387,BRECHA-AST-05: sin endpoint HTTP público para disparar mirror. Issue #97,—,—,Sin prueba de endpoint
FR-AST-021,find_or_create_asset_by_hash — dedup por SHA-256,as-built,AssetLinkService.find_or_create_asset_by_hash,Parcial,asset_link_service.py:116-160,BRECHA-AST-05: solo accesible internamente; sin endpoint HTTP. Issue #106,—,tests/unit/services/assets/test_asset_link_service.py,Verde
NFR-AST-001,RBAC: read=products:read write=products:write delete=products:delete,CLAUDE.md,Todos los endpoints de assets,Verificado,products.py:1032;1051;1121;1146;1173;1195;1226;1294;1314;1334;1356; asset_links.py:58;77;105,,—,tests/unit/api/test_products_assets_api.py (cobertura completa de permisos via mocks),Verde
NFR-AST-002,RFC 7807 ProblemDetails en todos los errores de assets,CLAUDE.md,Todos los endpoints de assets,Parcial,products.py:147-157 (_problem); products.py:1211-1212;1255-1256,BRECHA-AST-03: errores 422 AssetValidationError no usan ProblemDetails. Issue #103,—,—,Parcial
NFR-AST-003,Bucket obligatorio: product-images,CLAUDE.md,AssetService,Verificado,asset_service.py:105 DEFAULT_BUCKET="product-images",,—,tests/unit/services/assets/test_asset_service.py,Verde
NFR-AST-004,Sin N+1 en construcción de URLs de assets,CLAUDE.md directriz 1,GET /products/{sku}/assets,Verificado,schemas_assets.py:140-169,,—,—,Verde (verificado en código)
NFR-AST-005,Sanitización de filename (sin separadores de ruta + regex),as-built,ProductAssetUploadRequest; AssetService,Verificado,schemas_assets.py:201-208; asset_service.py:73-76,,—,tests/unit/schemas/test_assets.py,Verde
