FR_ID,Descripción,Origen,Endpoint/Componente,Estado,Evidencia,Brecha/Notas,Hallazgo_BMAD_relacionado,Prueba(s) automatizada(s),Estado de prueba
FR-TRD-001,Listar traducciones de un producto,as-built; contrato API,GET /products/{sku}/translations,Verificado,products.py:942-957; product_service.py:754-758; repository.py:474-481,—,—,tests/unit/api/test_translations_workflow_api.py (indirecto),Verde
FR-TRD-002,Upsert idempotente de traduccion por lang (es|ar),as-built; contrato API,PUT /products/{sku}/translations/{lang},Verificado,products.py:960-979; product_service.py:760-788,—,—,—,No hay test directo del endpoint upsert PUT
FR-TRD-003,Audit event en creacion y actualizacion de traduccion,PRD OKR O1a.4; as-built,PUT /products/{sku}/translations/{lang},Verificado,product_service.py:775-788,—,—,—,No hay test directo
FR-TRD-004,Upsert atomico INSERT ON CONFLICT DO UPDATE,CLAUDE.md directriz 1; as-built,ProductTranslationRepository.upsert,Verificado,repository.py:491-524,—,—,tests/unit/services/products/test_translation_workflow.py (indirecto),Verde
FR-TRD-005,PATCH parcial de traduccion existente,as-built; contrato API,PATCH /products/{sku}/translations/{lang},Verificado,products.py:982-999; product_service.py:800-815,—,—,—,No hay test directo del endpoint PATCH
FR-TRD-006,PATCH rechaza payload vacio con HTTP 422,as-built,PATCH /products/{sku}/translations/{lang},Verificado,schemas/products.py:575-579 _at_least_one_field validator,—,—,—,No hay test directo
FR-TRD-007,POST approve clasico transiciona a approved,as-built; contrato API,POST /products/{sku}/translations/{lang}/approve,Parcial,products.py:1002-1018; product_service.py:817-842,Sin four-eyes check (BRECHA-TRD-01 issue #96),—,—,No hay test directo del endpoint approve clasico
FR-TRD-008,POST request-review: draft|pending|stale → pending_review,PRD US-1A-02-05; as-built,POST /products/{sku}/translations/{lang}/request-review,Verificado,translations_workflow.py:58-82; translation_workflow.py:195-216,—,—,tests/unit/api/test_translations_workflow_api.py::test_request_review_endpoint_200,Verde
FR-TRD-009,POST reject: pending_review → draft con reason obligatorio,PRD US-1A-02-05; as-built,POST /products/{sku}/translations/{lang}/reject,Verificado,translations_workflow.py:85-112; translation_workflow.py:242-265,—,—,tests/unit/api/test_translations_workflow_api.py::test_reject_endpoint_200_with_reason,Verde
FR-TRD-010,POST mark-stale: approved no-EN → stale (idempotente),PRD US-1A-02-05; as-built,POST /products/{sku}/translations/mark-stale,Verificado,translations_workflow.py:115-145; translation_workflow.py:268-307,—,—,tests/unit/api/test_translations_workflow_api.py::test_mark_stale_endpoint_returns_affected_only_non_en,Verde
FR-TRD-011,FSM con 6 transiciones validas y rechazo HTTP 409 para invalidas,PRD US-1A-02-05; as-built,TranslationWorkflowService + _VALID_TRANSITIONS,Verificado,translation_workflow.py:79-92; translation_workflow.py:100-113,—,—,tests/unit/services/products/test_translation_workflow.py (matrix de transiciones),Verde
FR-TRD-012,Audit event por cada transicion FSM con actor y timestamp,PRD OKR O1a.4; as-built,TranslationAuditEmitter.record_transition,Verificado,translation_workflow.py:208-215; translation_audit.py:61-102,—,—,tests/unit/services/products/test_translation_audit.py,Verde
FR-TRD-013,GET coverage: total + coverage por lang + missing_by_lang,as-built; contrato API,GET /api/v1/products/translations/coverage,Verificado,translations.py:90-128,—,—,tests/unit/api/test_translations_api.py::test_coverage_endpoint_returns_expected_shape,Verde
FR-TRD-014,POST complete: AI completion via TranslationCompletionService,as-built; PIM pipeline v2,POST /api/v1/products/translations/complete,Verificado,translations.py:65-87,actor_id no propagado al servicio AI (BRECHA-TRD-04 issue #99),—,tests/unit/api/test_translations_api.py::test_complete_endpoint_returns_completion_result,Verde
NFR-TRD-001,RBAC: products:read en lectura products:write en escritura/workflow,CLAUDE.md; as-built,Todos los endpoints TRD,Verificado,products.py:950/970/992/1011; translations_workflow.py:75/105/132; translations.py:77/101,—,—,tests/unit/api/test_translations_workflow_api.py (cobertura RBAC indirecta),Verde
NFR-TRD-002,RFC 7807 en todos los errores de dominio,CLAUDE.md; as-built,_raise_domain en products.py y translations_workflow.py,Parcial,products.py:161-173 (completo); translations_workflow.py:48-52 (faltan type/status/instance),RFC 7807 incompleto en workflow endpoints (BRECHA-TRD-02 issue #97),—,—,—
NFR-TRD-003,Audit desde capa de servicio con acciones canonicas validadas,CLAUDE.md; as-built,ProductService + TranslationAuditEmitter,Verificado,product_service.py:775-787; translation_audit.py:27-34/74-102,—,—,tests/unit/services/products/test_translation_audit.py,Verde
NFR-TRD-004,Sin N+1 en listado de traducciones,CLAUDE.md directriz 1-2; as-built,GET /{sku}/translations + selectinload,Verificado,product_service.py:754-758; repository.py:474-481; product.py:223-225,—,—,—,—
NFR-TRD-005,Upsert con 1 round-trip (INSERT ON CONFLICT),CLAUDE.md directriz 1; as-built,ProductTranslationRepository.upsert,Verificado,repository.py:491-524,—,—,—,—
NFR-TRD-006,lang restringido a es|ar en todos los endpoints CRUD y workflow,as-built; contrato API,"Path(pattern=r""^(es|ar)$"")",Verificado,products.py:968; translations_workflow.py:73/103/133,—,—,—,—
BR-TRD-001,EN es master no modificable por endpoints TRD,PRD SS5.3; as-built,ProductService._extract_en_translation_payload,Verificado,product.py:62-67; product_service.py:273-287,—,—,—,—
BR-TRD-002,TranslationStatus enum completo vs schemas expuestos,as-built,enums.py + schemas,Parcial,enums.py:57-64; schemas/products.py:553; schemas/workflow.py:17-23,ai_generated en enum pero no expuesto en API (BRECHA-TRD-05 issue #101),—,—,—
BR-TRD-003,Four-eyes: aprobador != autor (BR-1a-09),PRD BR-1a-09; as-built,TranslationWorkflowService.approve,Parcial,translation_workflow.py:224-226 (con four-eyes); product_service.py:817-842 (sin four-eyes),Endpoint clasico /approve no implementa four-eyes (BRECHA-TRD-01 issue #96),—,tests/unit/services/products/test_translation_workflow.py::test_approve_four_eyes,Verde (solo en workflow service)
BR-TRD-004,mark-stale solo afecta no-EN en approved,as-built,TranslationWorkflowService.mark_stale_for_master_edit,Verificado,translation_workflow.py:286-295,—,—,tests/unit/api/test_translations_workflow_api.py::test_mark_stale_endpoint_returns_affected_only_non_en,Verde
BR-TRD-005,reason obligatorio (min 3 chars) en reject,PRD BR-1a-09; as-built,TranslationRejectRequest schema + service,Verificado,schemas/workflow.py:34-37; translation_workflow.py:244,—,—,tests/unit/api/test_translations_workflow_api.py::test_reject_missing_reason_returns_422,Verde
BR-TRD-006,translated_by y translated_at siempre registrados en upsert,as-built,ProductService.upsert_translation,Verificado,product_service.py:771-774,—,—,—,—
