FR_ID,Descripción,Origen,Endpoint/Componente,Estado,Evidencia,Brecha/Notas,Hallazgo_BMAD_relacionado
FR-CAT-001,Alta de producto con SKU PK + name_en + family/brand + specs validadas,PRD FR-1a-01; contrato API,POST /products,Parcial,product_service.py:299-346; schemas.py:121-128,name_en opcional en schema ProductCreate — no se exige como NOT NULL (ver BRECHA-CAT-01),—
FR-CAT-002,data_quality='partial' por defecto al crear,PRD FR-1a-01 BDD; código,POST /products,Verificado,product.py:101-103 server_default='partial',,—
FR-CAT-003,Evento de auditoría en creación,PRD OKR O1a.4,POST /products,Verificado,product_service.py:338-345 audit.record(action='product.created'),,—
FR-CAT-004,HTTP 409 en SKU duplicado,contrato API,POST /products,Verificado,product_service.py:301-303 ProductAlreadyExistsError→409 code=product_duplicate_sku,,—
FR-CAT-005,HTTP 422 en specs que no cumplen JSON Schema,contrato API,POST /products,Verificado,product_service.py:304-312; products.py:651-653 SpecsValidationError→422,,—
FR-CAT-006,GET ficha completa con translations + assets,PRD FR-1a-01; contrato API,GET /products/{sku},Verificado,products.py:718-733 _build_product_detail,,—
FR-CAT-007,HTTP 404 para SKU inexistente o eliminado,contrato API,GET /products/{sku},Verificado,product_service.py:43-48 ProductNotFoundError→404,,—
FR-CAT-008,series_detail + material_detail + display_pair + model_detail en respuesta,as-built,GET /products/{sku},Parcial,products.py:218-290 _build_product_detail,Datos correctos pero 3 queries secuenciales (N+1) — violación Art.3 diferida,E-2
FR-CAT-009,GET ficha resuelta con fallback al padre,as-built,GET /products/{sku}/resolved,Verificado,products.py:1782-1808; parent_resolver.py,Sin response_model (ver BRECHA-CAT-05),A-6
FR-CAT-010,Ficha resuelta sin variante = ficha directa,as-built,GET /products/{sku}/resolved,Verificado,parent_resolver.py:63-82,,—
FR-CAT-011,Listado cursor-based SKU ASC default=50 max=200,CLAUDE.md; contrato API,GET /products,Verificado,products.py:491; 525; 611-613,,—
FR-CAT-012,16 filtros compuestos AND en listado,contrato API,GET /products,Verificado,products.py:457-495,,—
